time_msec,ham_dist
0.131876945496,8
0.159613132477,9
0.0876150131226,9
0.1860871315,8
0.211467027664,9
0.200726985931,7
0.200819969177,8
0.169782876968,9
0.208842039108,10
0.138889074326,7
0.0972759723663,9
0.098197221756,10
0.105870008469,9
0.105060100555,10
0.257737874985,9
0.205042123795,7
0.13324213028,11
0.180755853653,7
0.160452842712,7
0.179732084274,8
0.626224994659,8
0.479732990265,8
0.657845973969,8
0.899827003479,10
0.959295034409,7
1.28191614151,7
1.54369997978,9
1.24231481552,7
1.12261605263,9
1.49670290947,9
2.03805994987,9
2.41690587997,8
3.67221617699,9
4.75173616409,8
4.82580089569,9
6.22270917892,8
